time,open,high,low,close,vol,id,timestamp,Bollinger Bands,Bollinger Bands2,Bollinger Bands3,Average Directional Index,Correlation Coefficient
1552051200,3973.9,3978.68044762,3973.9,3977.6,8.062964929999998,"0","2019-03-08 13:20:00",3975.9468428360015,3981.9349064040953,3969.9587792679076,16.60569465688638,0.8256184138701376
1552051500,3977.4,3977.6,3977.1,3977.3,1.2386908600000002,"1","2019-03-08 13:25:00",3975.9868428360014,3981.999788502479,3969.9738971695238,15.710613217399306,0.8283936755451922
1552051800,3977.2,3979.8,3977.2,3979.7042284,213.58028620000002,"2","2019-03-08 13:30:00",3976.147054256002,3982.373126037062,3969.920982474942,15.647304391541592,0.841908577847052
1552052100,3979.8,3984.9,3979.7042284,3984.9,122.47291700000001,"3","2019-03-08 13:35:00",3976.5770542560012,3983.8806494790592,3969.2734590329433,16.918521847173086,0.8532539845430381
1552052400,3985,3987.90795044,3982.6,3982.6,28.598920729999996,"4","2019-03-08 13:40:00",3977.1235448895013,3984.5118871672657,3969.735202611737,18.678553956180682,0.8583307720721008
1552052700,3982.5,3982.50656471,3981.2,3981.2,6.614650760000001,"5","2019-03-08 13:45:00",3977.6085448895014,3984.7250993537164,3970.4919904252865,19.73053349848943,0.843048410820578
1552053000,3980.5,3980.5,3979.6,3979.9,7.200624759999999,"6","2019-03-08 13:50:00",3978.0185448895013,3984.6548782298764,3971.382211549126,20.076636326799527,0.7959714242448481
1552053300,3979.98159783,3984,3979.9,3983.9307038,28.220236940000003,"7","2019-03-08 13:55:00",3978.634950942501,3985.059817092991,3972.2100847920105,21.124761716817243,0.7392211472405579
1552053600,3983.9307038,3988,3983.9307038,3987,8.23526976,"8","2019-03-08 14:00:00",3979.219950942501,3986.4088614747593,3972.0310404102424,22.761638918710815,0.7977067209776224
1552053900,3985.2,3985.2,3985.1,3985.1,9.696454819999998,"9","2019-03-08 14:05:00",3979.484950942501,3987.1169387990635,3971.852963085939,24.281596320469134,0.8306658235536146
